; rcp45 from v25
; hectordata 0.0.0.9000
; commit 145b6becda72a60
; date Wed Feb  1 17:42:56 2023
; UNITS:, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
1754,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1755,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1756,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1757,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1758,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1759,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1760,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1761,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1762,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1763,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1764,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1765,0,0,0,0.010762744,0,0,0,0,0,157.267,0,3100.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
1766,0.106998,0,0,0.010752073,0,0,0,0,0,157.267,0,3100.211,1.9632619,9.0502213,0,0,0,0,0,0,0,0,0,0,0,0.005191085,0,1.5968747,0.10950162,0.56591996,0,98.882647,0.11622211,0,0.003,0,0,0,0.005338296,0
1767,0.1333826,0,0,0.010747949,0,0,0,0,0,157.267,0,3100.211,2.4364481,12.960844,0,0,0,0,0,0,0,0,0,0,0,0.010116813,0,2.2923164,0.16803826,0.78146771,0,116.3065,0.23244422,0,0.003,0,0,0,0.010676593,0
1768,0.15984677,0,0,0.01074382,0,0,0,0,0,157.267,0,3100.211,2.911105,16.876539,0,0,0,0,0,0,0,0,0,0,0,0.015042803,0,2.9886478,0.2266252,0.99736131,0,133.81075,0.19744422,0,0.003,0,0,0,0.016014889,0
1769,0.18639296,0,0,0.010739687,0,0,0,0,0,157.267,0,3100.211,3.3872782,20.797465,0,0,0,0,0,0,0,0,0,0,0,0.019969063,0,3.6858966,0.28526401,1.2136114,0,151.39789,0.13181922,0,0.003,0,0,0,0.021353185,0
1770,0.21302373,0,0,0.010735548,0,0,0,0,0,157.267,0,3100.211,3.8650146,24.723782,0,0,0,0,0,0,0,0,0,0,0,0.024895601,0,4.3840909,0.34395628,1.4302291,0,169.07049,0.12744422,0,0.003,0,0,0,0.026691482,0
1771,0.23974168,0,0,0.010731403,0,0,0,0,0,157.267,0,3100.211,4.3443625,28.655658,0,0,0,0,0,0,0,0,0,0,0,0.029822427,0,5.0832602,0.40270367,1.6472257,0,186.83119,0.17994422,0,0.004,0,0,0,0.032029778,0
1772,0.26654951,0,0,0.010727254,0,0,0,0,0,157.267,0,3100.211,4.8253718,32.593264,0,0,0,0,0,0,0,0,0,0,0,0.034749548,0,5.7834346,0.46150789,1.864613,0,204.68271,0.21494422,0,0.004,0,0,0,0.037368074,0
1773,0.29345,0,0,0.010723098,0,0,0,0,0,157.267,0,3100.211,5.3080938,36.536778,0,0,0,0,0,0,0,0,0,0,0,0.039676975,0,6.4846451,0.52037068,2.082403,0,222.62786,0.22806922,0,0.004,0,0,0,0.042706371,0
1774,0.32044601,0,0,0.010718937,0,0,0,0,0,157.267,0,3100.211,5.7925816,40.486382,0,0,0,0,0,0,0,0,0,0,0,0.044604715,0,7.1869238,0.57929387,2.3006082,0,240.66954,0.23244422,0,0.004,0,0,0,0.048044667,0
1775,0.34754051,0,0,0.010714769,0,0,0,0,0,157.267,0,3100.211,6.2788896,44.442265,0,0,0,0,0,0,0,0,0,0,0,0.04953278,0,7.8903037,0.63827932,2.5192414,0,258.81073,0.23244422,0,0.004,0,0,0,0.053382963,0
1776,0.37473653,0,0,0.010710595,0,0,0,0,0,157.267,0,3100.211,6.7670743,48.40462,0,0,0,0,0,0,0,0,0,0,0,0.05446118,0,8.5948188,0.69732895,2.7383159,0,277.05451,0.23244422,0,0.004,0,0,0,0.058721259,0
1777,0.40203721,0,0,0.010706413,0,0,0,0,0,157.267,0,3100.211,7.2571937,52.373649,0,0,0,0,0,0,0,0,0,0,0,0.059389923,0,9.3005044,0.75644476,2.9578452,0,295.40406,0.23244422,0,0.004,0,0,0,0.064059556,0
1778,0.4294458,0,0,0.010702225,0,0,0,0,0,157.267,0,3100.211,7.7493076,56.349557,0,0,0,0,0,0,0,0,0,0,0,0.064319022,0,10.007397,0.81562878,3.1778436,0,313.86264,0.23244422,0,0.004,0,0,0,0.069397852,0
1779,0.45696563,0,0,0.01069803,0,0,0,0,0,157.267,0,3100.211,8.2434776,60.332558,0,0,0,0,0,0,0,0,0,0,0,0.069248487,0,10.715533,0.87488313,3.3983254,0,332.43362,0.23244422,0,0.004,0,0,0,0.074736148,0
1780,0.48460014,0,0,0.010693826,0,0,0,0,0,157.267,0,3100.211,8.7397674,64.32287,0,0,0,0,0,0,0,0,0,0,0,0.07417833,0,11.424951,0.93420999,3.6193057,0,351.12049,0.23244422,0,0.004,0,0,0,0.080074445,0
1781,0.51235288,0,0,0.010689617,0,0,0,0,0,157.267,0,3100.211,9.2382426,68.32072,0,0,0,0,0,0,0,0,0,0,0,0.079108562,0,12.135692,0.99361159,3.8407999,0,369.92683,0.23244422,0,0.005,0,0,0,0.085412741,0
1782,0.5402275,0,0,0.010685398,0,0,0,0,0,157.267,0,3100.211,9.7389706,72.32634,0,0,0,0,0,0,0,0,0,0,0,0.084039195,0,12.847795,1.0530902,4.0628238,0,388.85633,0.21056922,0,0.005,0,0,0,0.090751037,0
1783,0.56822778,0,0,0.010681171,0,0,0,0,0,157.267,0,3100.211,10.242021,76.339972,0,0,0,0,0,0,0,0,0,0,0,0.088970241,0,13.561303,1.1126483,4.2853938,0,407.9128,0.11869422,0,0.005,0,0,0,0.096089334,0
1784,0.59635759,0,0,0.010676935,0,0,0,0,0,157.267,0,3100.211,10.747466,80.361863,0,0,0,0,0,0,0,0,0,0,0,0.093901714,0,14.27626,1.1722883,4.5085268,0,427.10016,0.044319219,0,0.005,0,0,0,0.10142763,0
1785,0.62462095,0,0,0.010672691,0,0,0,0,0,157.267,0,3100.211,11.25538,84.392268,0,0,0,0,0,0,0,0,0,0,0,0.098833627,0,14.992711,1.2320128,4.7322403,0,446.42248,0.10119422,0,0.005,0,0,0,0.10676593,0
1786,0.65302198,0,0,0.010668437,0,0,0,0,0,157.267,0,3100.211,11.765839,88.431451,0,0,0,0,0,0,0,0,0,0,0,0.10376599,0,15.710701,1.2918242,4.9565522,0,465.88391,0.18869422,0,0.005,0,0,0,0.11210422,0
1787,0.68156496,0,0,0.010664172,0,0,0,0,0,157.267,0,3100.211,12.278921,92.479683,0,0,0,0,0,0,0,0,0,0,0,0.10869883,0,16.430278,1.3517254,5.1814809,0,485.48877,0.22369422,0,0.005,0,0,0,0.11744252,0
1788,0.71025425,0,0,0.010659899,0,0,0,0,0,157.267,0,3100.211,12.794707,96.537244,0,0,0,0,0,0,0,0,0,0,0,0.11363214,0,17.151491,1.4117191,5.4070456,0,505.24148,0.22806922,0,0.005,0,0,0,0.12278082,0
1789,0.73909439,0,0,0.010655614,0,0,0,0,0,157.267,0,3100.211,13.313282,100.60442,0,0,0,0,0,0,0,0,0,0,0,0.11856595,0,17.874391,1.4718082,5.633266,0,525.14663,0.12306921999999999,0,0.005,0,0,0,0.12811911,0
1790,0.76809005,0,0,0.010651319,0,0,0,0,0,157.267,0,3100.211,13.834732,104.68152,0,0,0,0,0,0,0,0,0,0,0,0.12350027,0,18.59903,1.5319956,5.8601623,0,545.20892,-0.025680781,0,0.005,0,0,0,0.13345741,0
1791,0.79724604,0,0,0.010647012,0,0,0,0,0,157.267,0,3100.211,14.359145,108.76883,0,0,0,0,0,0,0,0,0,0,0,0.12843512,0,19.325462,1.5922843,6.0877554,0,565.43322,0.009319219,0,0.006,0,0,0,0.1387957,0
1792,0.8265673,0,0,0.010642695,0,0,0,0,0,157.267,0,3100.211,14.886613,112.86668,0,0,0,0,0,0,0,0,0,0,0,0.13337052,0,20.053742,1.6526776,6.3160669,0,585.82453,0.14056922,0,0.006,0,0,0,0.144134,0
1793,0.85605896,0,0,0.010638364,0,0,0,0,0,157.267,0,3100.211,15.417231,116.9754,0,0,0,0,0,0,0,0,0,0,0,0.13830648,0,20.783927,1.7131785,6.5451189,0,606.38803,0.20619422,0,0.006,0,0,0,0.1494723,0
1794,0.88572629,0,0,0.010634021,0,0,0,0,0,157.267,0,3100.211,15.951096,121.09532,0,0,0,0,0,0,0,0,0,0,0,0.14324301,0,21.516077,1.7737906,6.7749345,0,627.12904,0.21494422,0,0.006,0,0,0,0.15481059,0
1795,0.91557471,0,0,0.010629666,0,0,0,0,0,157.267,0,3100.211,16.488308,125.22678,0,0,0,0,0,0,0,0,0,0,0,0.14818014,0,22.250252,1.8345171,7.0055372,0,648.05304,0.19306922,0,0.006,0,0,0,0.16014889,0
1796,0.94560984,0,0,0.010625297,0,0,0,0,0,157.267,0,3100.211,17.028971,129.37015,0,0,0,0,0,0,0,0,0,0,0,0.15311788,0,22.986514,1.8953617,7.2369513,0,669.16569,0.18869422,0,0.006,0,0,0,0.16548719,0
1797,0.97583743,0,0,0.010620914,0,0,0,0,0,157.267,0,3100.211,17.573192,133.52578,0,0,0,0,0,0,0,0,0,0,0,0.15805626,0,23.724929,1.9563279,7.469202,0,690.47284,0.21056922,0,0.007,0,0,0,0.17082548,0
1798,1.0062635,0,0,0.010616517,0,0,0,0,0,157.267,0,3100.211,18.121081,137.69407,0,0,0,0,0,0,0,0,0,0,0,0.16299529,0,24.465563,2.0174196,7.7023151,0,711.9805,0.22806922,0,0.007,0,0,0,0.17616378,0
1799,1.036894,0,0,0.010612106,0,0,0,0,0,157.267,0,3100.211,18.672751,141.8754,0,0,0,0,0,0,0,0,0,0,0,0.167935,0,25.208484,2.0786406,7.9363173,0,733.69486,0.23244422,0,0.007,0,0,0,0.18150207,0
1800,1.0677355,0,0,0.010607681,0,0,0,0,0,157.267,0,3100.211,19.228319,146.07018,0,0,0,0,0,0,0,0,0,0,0,0.1728754,0,25.953763,2.1399949,8.1712361,0,755.62233,0.23244422,0,0.008,0,0,0,0.18684037,0
1801,1.0987944,0,0,0.010603238,0,0,0,0,0,157.267,0,3100.211,19.787906,150.27882,0,0,0,0,0,0,0,0,0,0,0,0.17781651,0,26.701473,2.2014867,8.4070999,0,777.76949,0.23244422,0,0.008,0,0,0,0.19217867,0
1802,1.1300774,0,0,0.01059878,0,0,0,0,0,157.267,0,3100.211,20.351635,154.50174,0,0,0,0,0,0,0,0,0,0,0,0.18275836,0,27.45169,2.2631202,8.6439378,0,800.14313,0.23244422,0,0.01,0,0,0,0.19751696,0
1803,1.1615915,0,0,0.010594305,0,0,0,0,0,157.267,0,3100.211,20.919636,158.7394,0,0,0,0,0,0,0,0,0,0,0,0.18770098,0,28.204491,2.3248998,8.88178,0,822.75026,0.23244422,0,0.009,0,0,0,0.20285526,0
1804,1.1933438,0,0,0.010589813,0,0,0,0,0,157.267,0,3100.211,21.49204,162.99225,0,0,0,0,0,0,0,0,0,0,0,0.19264437,0,28.959955,2.38683,9.1206576,0,845.59811,0.23244422,0,0.009,0,0,0,0.20819356,0
1805,1.2253417,0,0,0.010585303,0,0,0,0,0,157.267,0,3100.211,22.068984,167.26075,0,0,0,0,0,0,0,0,0,0,0,0.19758858,0,29.718165,2.4489154,9.3606025,0,868.69411,0.23244422,0,0.009,0,0,0,0.21353185,0
1806,1.2575928,0,0,0.010580775,0,0,0,0,0,157.267,0,3100.211,22.650607,171.5454,0,0,0,0,0,0,0,0,0,0,0,0.20253362,0,30.479207,2.511161,9.6016479,0,892.04595,0.23244422,0,0.01,0,0,0,0.21887015,0
1807,1.2901048,0,0,0.010576228,0,0,0,0,0,157.267,0,3100.211,23.237055,175.84668,0,0,0,0,0,0,0,0,0,0,0,0.20747952,0,31.243167,2.5735715,9.8438276,0,915.66153,0.23244422,0,0.01,0,0,0,0.22420845,0
1808,1.322886,0,0,0.010571661,0,0,0,0,0,157.267,0,3100.211,23.828476,180.16513,0,0,0,0,0,0,0,0,0,0,0,0.2124263,0,32.010136,2.6361521,10.087177,0,939.54901,-0.25755578,0,0.01,0,0,0,0.22954674,0
1809,1.3559445,0,0,0.010567074,0,0,0,0,0,157.267,0,3100.211,24.425025,184.50125,0,0,0,0,0,0,0,0,0,0,0,0.217374,0,32.780207,2.6989081,10.331732,0,963.7168,-1.3994308,0,0.01,0,0,0,0.23488504,0
1810,1.3892891,0,0,0.010562467,0,0,0,0,0,157.267,0,3100.211,25.02686,188.85561,0,0,0,0,0,0,0,0,0,0,0,0.22232264,0,33.553476,2.7618449,10.57753,0,988.17358,-1.8019308,0,0.01,0,0,0,0.24022333,0
1811,1.4229284,0,0,0.010557838,0,0,0,0,0,157.267,0,3100.211,25.634145,193.22877,0,0,0,0,0,0,0,0,0,0,0,0.22727225,0,34.330042,2.8249681,10.824609,0,1012.9283,-1.0100558,0,0.011,0,0,0,0.24556163,0
1812,1.4568717,0,0,0.010553187,0,0,0,0,0,157.267,0,3100.211,26.247048,197.62131,0,0,0,0,0,0,0,0,0,0,0,0.23222285,0,35.110006,2.8882835,11.073009,0,1037.9901,-0.34068078,0,0.011,0,0,0,0.25089993,0
1813,1.4911284,0,0,0.010548513,0,0,0,0,0,157.267,0,3100.211,26.865743,202.03382,0,0,0,0,0,0,0,0,0,0,0,0.2371745,0,35.893474,2.951797,11.322772,0,1063.3685,-0.14818078,0,0.011,0,0,0,0.25623822,0
1814,1.5257081,0,0,0.010543815,0,0,0,0,0,157.267,0,3100.211,27.490408,206.46693,0,0,0,0,0,0,0,0,0,0,0,0.2421272,0,36.680555,3.0155147,11.573938,0,1089.0734,-0.67755578,0,0.011,0,0,0,0.26157652,0
1815,1.5606208,0,0,0.010539094,0,0,0,0,0,157.267,0,3100.211,28.12123,210.92127,0,0,0,0,0,0,0,0,0,0,0,0.247081,0,37.471359,3.0794429,11.826552,0,1115.1148,-2.1519308,0,0.012,0,0,0,0.26691482,0
1816,1.5958768,0,0,0.010534347,0,0,0,0,0,157.267,0,3100.211,28.758398,215.39751,0,0,0,0,0,0,0,0,0,0,0,0.25203593,0,38.266003,3.1435882,12.080658,0,1141.5031,-2.6638058,0,0.013,0,0,0,0.27225311,0
1817,1.6314868,0,0,0.010529574,0,0,0,0,0,157.267,0,3100.211,29.402108,219.8963,0,0,0,0,0,0,0,0,0,0,0,0.25699203,0,39.064605,3.2079573,12.336302,0,1168.2491,-1.4956808,0,0.014,0,0,0,0.27759141,0
1818,1.6674616,0,0,0.010524775,0,0,0,0,0,157.267,0,3100.211,30.052563,224.41836,0,0,0,0,0,0,0,0,0,0,0,0.26194932,0,39.867286,3.272557,12.593532,0,1195.3638,-0.36255578,0,0.014,0,0,0,0.2829297,0
1819,1.7038127,0,0,0.010519947,0,0,0,0,0,157.267,0,3100.211,30.709971,228.96441,0,0,0,0,0,0,0,0,0,0,0,0.26690786,0,40.674175,3.3373946,12.852397,0,1222.8586,0.092444219,0,0.014,0,0,0,0.288268,0
1820,1.7405516,0,0,0.010515091,0,0,0,0,0,157.267,0,3100.211,31.374548,233.53518,0,0,0,0,0,0,0,0,0,0,0,0.27186767,0,41.485399,3.4024773,13.112948,0,1250.7453,0.22369422,0,0.014,0,0,0,0.2936063,0
1821,1.7776902,0,0,0.010510206,0,0,0,0,0,157.267,0,3100.211,32.046514,238.13144,0,0,0,0,0,0,0,0,0,0,0,0.2768288,0,42.301095,3.4678129,13.375236,0,1279.036,0.23244422,0,0.014,0,0,0,0.29894459,0
1822,1.815241,0,0,0.010505291,0,0,0,0,0,157.267,0,3100.211,32.7261,242.75398,0,0,0,0,0,0,0,0,0,0,0,0.28179128,0,43.121399,3.533409,13.639316,0,1307.7432,0.23244422,0,0.015,0,0,0,0.30428289,0
1823,1.8532168,0,0,0.010500343,0,0,0,0,0,157.267,0,3100.211,33.413539,247.40361,0,0,0,0,0,0,0,0,0,0,0,0.28675516,0,43.946455,3.5992737,13.905243,0,1336.8798,0.23244422,0,0.016,0,0,0,0.30962119,0
1824,1.8916306,0,0,0.010495364,0,0,0,0,0,157.267,0,3100.211,34.109076,252.08117,0,0,0,0,0,0,0,0,0,0,0,0.29172049,0,44.77641,3.6654154,14.173074,0,1366.459,0.23244422,0,0.016,0,0,0,0.31495948,0
1825,1.930496,0,0,0.010490352,0,0,0,0,0,157.267,0,3100.211,34.81296,256.78752,0,0,0,0,0,0,0,0,0,0,0,0.2966873,0,45.611414,3.7318426,14.442867,0,1396.4945,0.23244422,0,0.017,0,0,0,0.32029778,0
1826,1.969827,0,0,0.010485305,0,0,0,0,0,157.267,0,3100.211,35.52545,261.52355,0,0,0,0,0,0,0,0,0,0,0,0.30165564,0,46.451625,3.7985641,14.714684,0,1427.0005,0.23244422,0,0.017,0,0,0,0.32563608,0
1827,2.009638,0,0,0.010480223,0,0,0,0,0,157.267,0,3100.211,36.246813,266.29019,0,0,0,0,0,0,0,0,0,0,0,0.30662557,0,47.297202,3.8655890999999998,14.988587,0,1457.9916,0.23244422,0,0.018,0,0,0,0.33097437,0
1828,2.0499438,0,0,0.010475104,0,0,0,0,0,157.267,0,3100.211,36.977321,271.08837,0,0,0,0,0,0,0,0,0,0,0,0.31159712,0,48.148313,3.9329269,15.264641,0,1489.4826,0.22806922,0,0.018,0,0,0,0.33631267,0
1829,2.0907597,0,0,0.010469948,0,0,0,0,0,157.267,0,3100.211,37.717259,275.91908,0,0,0,0,0,0,0,0,0,0,0,0.31657035,0,49.005128,4.0005873,15.542912,0,1521.4891,0.19306922,0,0.018,0,0,0,0.34165096,0
1830,2.1321015,0,0,0.010464751,0,0,0,0,0,157.267,0,3100.211,38.466917,280.78331,0,0,0,0,0,0,0,0,0,0,0,0.32154532,0,49.867824,4.0685801,15.823469,0,1554.027,-0.021305781,0,0.024,0,0,0,0.34698926,0
1831,2.1739855,0,0,0.010459517,0,0,0,0,0,157.267,0,3100.211,39.226597,285.68212,0,0,0,0,0,0,0,0,0,0,0,0.32652206,0,50.736582,4.1369156,16.106382,0,1587.1128,-0.39755578,0,0.023,0,0,0,0.35232756,0
1832,2.2164284,0,0,0.010454239,0,0,0,0,0,157.267,0,3100.211,39.996609,290.61656,0,0,0,0,0,0,0,0,0,0,0,0.33150065,0,51.611591,4.2056046,16.391724,0,1620.7633,-0.48505578,0,0.023,0,0,0,0.35766585,0
1833,2.2594475,0,0,0.01044892,0,0,0,0,0,157.267,0,3100.211,40.777271,295.58773,0,0,0,0,0,0,0,0,0,0,0,0.33648114,0,52.493043,4.2746578,16.679571,0,1654.9962,-0.18318078,0,0.024,0,0,0,0.36300415,0
1834,2.3030607,0,0,0.010443556,0,0,0,0,0,157.267,0,3100.211,41.568914,300.59678,0,0,0,0,0,0,0,0,0,0,0,0.34146358,0,53.381137,4.3440866,16.97,0,1689.8292,-0.34505578,0,0.024,0,0,0,0.36834245,0
1835,2.3472862,0,0,0.010438147,0,0,0,0,0,157.267,0,3100.211,42.371876,305.64487,0,0,0,0,0,0,0,0,0,0,0,0.34644803,0,54.27608,4.4139026,17.26309,0,1725.2812,-0.98818078,0,0.025,0,0,0,0.37368074,0
1836,2.3921432,0,0,0.010432691,0,0,0,0,0,157.267,0,3100.211,43.186509,310.73322,0,0,0,0,0,0,0,0,0,0,0,0.35143456,0,55.178082,4.4841177,17.558925,0,1761.3711,-0.94880578,0,0.029,0,0,0,0.37901904,0
1837,2.437651,0,0,0.010427186,0,0,0,0,0,157.267,0,3100.211,44.013173,315.86307,0,0,0,0,0,0,0,0,0,0,0,0.35642324,0,56.087363,4.5547443,17.857588,0,1798.1187,-0.34943078,0,0.029,0,0,0,0.38435733,0
1838,2.4838298,0,0,0.010421632,0,0,0,0,0,157.267,0,3100.211,44.85224,321.03569,0,0,0,0,0,0,0,0,0,0,0,0.36141413,0,57.004147,4.6257951,18.159168,0,1835.5443,0.044319219,0,0.03,0,0,0,0.38969563,0
1839,2.5307004,0,0,0.010416028,0,0,0,0,0,157.267,0,3100.211,45.704093,326.25242,0,0,0,0,0,0,0,0,0,0,0,0.36640729,0,57.928667,4.6972833,18.463755,0,1873.669,0.17994422,0,0.031,0,0,0,0.39503393,0
1840,2.5782841,0,0,0.010410369,0,0,0,0,0,157.267,0,3100.211,46.569129,331.51462,0,0,0,0,0,0,0,0,0,0,0,0.3714028,0,58.861161,4.7692224,18.771441,0,1912.5143,0.17994422,0,0.032999999,0,0,0,0.40037222,0
1841,2.6266031,0,0,0.010404655,0,0,0,0,0,157.267,0,3100.211,47.447755,336.82369,0,0,0,0,0,0,0,0,0,0,0,0.37640073,0,59.801876,4.8416262,19.082323,0,1952.1025,0.17556922,0,0.033999999,0,0,0,0.40571052,0
1842,2.67568,0,0,0.010398886,0,0,0,0,0,157.267,0,3100.211,48.34039,342.18109,0,0,0,0,0,0,0,0,0,0,0,0.38140115,0,60.751067,4.9145093,19.396499,0,1992.4567,0.18869422,0,0.035999999,0,0,0,0.41104882,0
1843,2.7255383,0,0,0.010393057,0,0,0,0,0,157.267,0,3100.211,49.247469,347.5883,0,0,0,0,0,0,0,0,0,0,0,0.38640415,0,61.708996,4.9878863,19.714071,0,2033.6004,0.16681922,0,0.036999999,0,0,0,0.41638711,0
1844,2.7762021,0,0,0.01038717,0,0,0,0,0,157.267,0,3100.211,50.169439,353.04688,0,0,0,0,0,0,0,0,0,0,0,0.3914098,0,62.675932,5.0617727,20.035144,0,2075.5581,0.15369422,0,0.038999999,0,0,0,0.42172541,0
1845,2.8276964,0,0,0.01038122,0,0,0,0,0,157.267,0,3100.211,51.106759,358.5584,0,0,0,0,0,0,0,0,0,0,0,0.39641818,0,63.652156,5.1361841,20.359827,0,2118.355,0.18431922,0,0.042999999,0,0,0,0.42706371,0
1846,2.8800469,0,0,0.010375207,0,0,0,0,0,157.267,0,3100.211,52.059904,364.1245,0,0,0,0,0,0,0,0,0,0,0,0.40142938,0,64.637952,5.2111367,20.688231,0,2162.0171,0.21494422,0,0.042999999,0,0,0,0.432402,0
1847,2.9332801,0,0,0.010369128,0,0,0,0,0,157.267,0,3100.211,53.029365,369.74689,0,0,0,0,0,0,0,0,0,0,0,0.40644349,0,65.633619,5.2866474,21.020471,0,2206.571,0.22806922,0,0.045999999,0,0,0,0.4377403,0
1848,2.9874231,0,0,0.010362983,0,0,0,0,0,157.267,0,3100.211,54.015644,375.42728,0,0,0,0,0,0,0,0,0,0,0,0.41146059,0,66.639461,5.3627334,21.356666,0,2252.0444,0.23244422,0,0.046999999,0,0,0,0.44307859,0
1849,3.0425043,0,0,0.010356769,0,0,0,0,0,157.267,0,3100.211,55.019264,381.16749,0,0,0,0,0,0,0,0,0,0,0,0.41648078,0,67.655792,5.4394124,21.696939,0,2298.4658,0.21599422,0,0.049999999,0,0,0,0.44841689,0
1850,3.0985525,0,1.395,0.010350482,0,0,0,0,0,157.267,0,3100.211,56.040759,386.96935,0,0,0,0,0,0,0,0,0,0,0,0.42150415,0,68.682938,5.5167028,22.041414,0,2345.8644,0.19200464,0,0.053999999,0,0,0,0.45375519,0
1851,3.1187417,0,1.447,0.010350913,0,0,0,0,0,157.267,0,3100.211,56.46132,387.46072,0,0,0,0,0,0,0,0,0,0,0,0.42740096,0,68.727765,5.5423239,22.105064,0,2401.282,0.19303276,0,0.053999999,0,0,0,0.44678569,0
